,title,review
119,2023 권규호 공무원 국어 개기문 : 문학,예전 수능 때 권규호 선생님의 강의를 듣지 않았는데 이번에 공시 준비하게 되면서 들어보니 왜 규호쌤 강의를 안 들었나 후회가 되더라고요! 저에게 가장 좋았던 점은 기본서 기출 모의고사가 따로 있는게 아니라 책 하나에 한꺼번에 포함되어 있어 바로바로 문학 훈련을 할 수 있어서 좋았어요!!
120,부모라면 유대인처럼,"아래 평가하신 분과 100% 공감. 처음엔 배울점도 있었지만, 중반부 넘어가면서 책읽기가 힘들어지네요. 현실성을 고려하면 와닿지가 않습니다. 유대인과 한국인의 비교 예를 드는데, 미국유대인인지, 이스라엘 유대인인지, 한국인은 재미교포를 말하는지, 한국 유학생을 말하는건지. 현실성이 떨어짐"
121,벼랑 끝에서 당신을 구해줄 1% 마법의 기술,멘탈 부여 잡기! 지금은 내공을 쌓아햐 할 때!
122,병원에 가면 정상이라는데 왜 자꾸 아플까,"원인모를 피곤함으로 병원과 약을 찾고 있는 요즘시대 사람들에게 현명하게 내 몸을 스스로 들여다보고, 바른 생활습관으로 자연스럽게 치료를 할 수 있는 팁을 주는 고마운 책. 기능의학에 대해서도 새롭게 알게 되었다."
123,엔도군 실험노트 - 상,‘관찰일기‘에 이어서 ‘실험노트‘편이다. 이번 편이 그 후속편에 해당하는 것 같은데 전과 마찬가지로 내게 깊은 인상을 남기지 못했다. 잔잔한 분위기와 색다른 감성 때문에 한번 계속 읽어보자고 생각했으나 똑같았다. 하지만 아쉽긴해도 위와 같은 분위기를 좋아한다면 분명 재미있을거라 본다.
124,남자 기숙사의 장미는 U-DU 꿈을 꾸는가?,와!! 그림 진짜 이쁘고 내용도 너무 좋다!! 이분껀 이제 소장각이닥!!! 그림진짜 쵝오!!
125,성인 ADHD의 개념과 진단 그리고 치료를 위한 지침서,"임상의사의 한계가 보임. 엄밀한 연구로 입증되지 않은, 본인의 주관적 생각이 많이 들어가 있음. 최신 뇌과학의 성과도 반영되지 못하고 있음. 잘못된 내용도 많지만 방대한 책의 양이 그런 아쉬운 점을 커버하고도 남음."
126,어른의 문해력,내 문해력의 정도를 파악할 수 있게 되었다. 또 어떤 부분이 부족하고 어떤 부분을 보강해야 되는지 알 수 있는 책. 수학으로 치면 수학익힘책? 같은 느낌~
127,"멈추면, 비로소 보이는 것들",사기꾼 풀소유 주봉석 유튜브에 크로커다일 혜민스님 주봉석 검색해보세요
128,크립토 투자 노트,초보자도 이해할 수 있게 잘 설명된 안내서 같은 내용의 책이네요~강추입니다!! 투자전 꼭 읽어보세요^^
129,천사의 게임,얼마나! 얼마나! 기다렸던 책인지! 문학동네 고맙습니다.
130,남편이 미모를 숨김 1,소식이 늦어서 약간 늦게 구매했는데 초판으로 사서 만족.책 퀄리티도 좋고 역시 핸드폰화면도 좋지만 종이책이 최고네요
131,인투 더 플래닛,기대됩니다 !!
132,10년 후 미래,"여러 분야별로 나누어, 다양하고 쉬운 설명들이 가득한, 세상 흐름을 알 수 있는 책"
133,"어쩌겠어, 이게 나인 걸!","사람들로 인해 아픈 사람에게 추천, 그림도 이쁘고 읽기도 편한 책. 거기에 마음먹기 팁들까지 가득~"
134,나 자신을 알라,[94쪽+α 읽음]다루는 이야기들은 흥미로우나 풀어나가는 방식이 의식의 흐름따라 쓴 듯 대단히 서툴다. 심리학 실험들을 소개하는 부분도 모호하거나 불성실한 경우가 적지 않다. 주제와 그닥 어울리지 않아 보이는 예시나 일화 난발도 적잖이 성가시다.
